20000004, 1
20000024, 1
20000044, 1
20000064, 1
20000084, 1
200000a4, 1
200000c4, 1
200000e4, 1
20000104, 1
20000124, 1
20000144, 1
20000164, 1
20000184, 1
200001a4, 1
200001c4, 1
200001e4, 1
20000204, 1
20000224, 1
20000244, 1
20000264, 1
20000284, 1
200002a4, 1
200002c4, 1
200002e4, 1
20000304, 1
20000324, 1
20000344, 1
20000364, 1
20000384, 1
200003a4, 1
200003c4, 1
200003e4, 1
20000404, 1
20000424, 1
20000444, 1
20000464, 1
20000484, 1
200004a4, 1
200004c4, 1
200004e4, 1
20000504, 1
20000524, 1
20000544, 1
20000564, 1
20000584, 1
200005a4, 1
200005c4, 1
200005e4, 1
20000604, 1
20000624, 1
20000644, 1
20000664, 1
20000684, 1
200006a4, 1
200006c4, 1
200006e4, 1
20000704, 1
20000724, 1
20000744, 1
20000764, 1
20000784, 1
200007a4, 1
200007c4, 1
200007e4, 1
20000804, 1
20000824, 1
20000844, 1
20000864, 1
20000884, 1
200008a4, 1
200008c4, 1
200008e4, 1
20000904, 1
20000924, 1
20000944, 1
20000964, 1
20000984, 1
200009a4, 1
200009c4, 1
200009e4, 1
20000a04, 1
20000a24, 1
20000a44, 1
20000a64, 1
20000a84, 1
20000aa4, 1
20000ac4, 1
20000ae4, 1
20000b04, 1
20000b24, 1
20000b44, 1
20000b64, 1
20000b84, 1
20000ba4, 1
20000bc4, 1
20000be4, 1
20000c04, 1
20000c24, 1
20000c44, 1
20000c64, 1
20000c84, 1
20000ca4, 1
20000cc4, 1
20000ce4, 1
20000d04, 1
20000d24, 1
20000d44, 1
20000d64, 1
20000d84, 1
20000da4, 1
20000dc4, 1
20000de4, 1
20000e04, 1
20000e24, 1
20000e44, 1
20000e64, 1
20000e84, 1
20000ea4, 1
20000ec4, 1
20000ee4, 1
20000f04, 1
20000f24, 1
20000f44, 1
20000f64, 1
20000f84, 1
20000fa4, 1
20000fc4, 1
20000fe4, 1
20001004, 1
20001024, 1
20001044, 1
20001064, 1
20001084, 1
200010a4, 1
200010c4, 1
200010e4, 1
20001104, 1
20001124, 1
20001144, 1
20001164, 1
20001184, 1
200011a4, 1
200011c4, 1
200011e4, 1
20001204, 1
20001224, 1
20001244, 1
